,店舗,緯度,経度,cluster_id
581,osaka_A2701_A270206_27052822,34.651198,135.506514,1
582,osaka_A2701_A270206_27053505,34.657328,135.500172,8
583,osaka_A2701_A270206_27058258,34.660737,135.488426,8
584,osaka_A2701_A270206_27058839,34.650186,135.506164,1
585,osaka_A2701_A270206_27059630,34.651445,135.506219,1
586,osaka_A2701_A270206_27065750,34.649414,135.506035,1
587,osaka_A2701_A270206_27071502,34.649186,135.501662,1
588,osaka_A2701_A270206_27079311,34.651317,135.505372,1
589,osaka_A2701_A270206_27083941,34.651062,135.506471,1
590,osaka_A2701_A270206_27088566,34.65071,135.506641,1
591,osaka_A2701_A270206_27092428,34.65071,135.506641,1
592,osaka_A2701_A270206_27093068,34.658277,135.505354,8
593,osaka_A2701_A270206_27103960,34.656864,135.499965,8
594,osaka_A2701_A270206_27110118,34.64986,135.506252,1
595,osaka_A2701_A270206_27111140,34.654789,135.49903,1
596,osaka_A2701_A270301_27001390,34.73372,135.500836,16
597,osaka_A2701_A270301_27011929,34.72709,135.499766,16
598,osaka_A2701_A270301_27012977,34.726533,135.497706,16
599,osaka_A2701_A270301_27013444,34.727037,135.491683,16
600,osaka_A2701_A270301_27017718,34.733225,135.500005,16
601,osaka_A2701_A270301_27040424,34.728321,135.50122,16
602,osaka_A2701_A270301_27045122,34.725499,135.500291,16
603,osaka_A2701_A270301_27049145,34.74005,135.497389,16
604,osaka_A2701_A270301_27053546,34.739136,135.497384,16
605,osaka_A2701_A270301_27054091,34.740288,135.4951,16
606,osaka_A2701_A270301_27060149,34.740348,135.498914,16
607,osaka_A2701_A270301_27060153,34.732954,135.504019,16
608,osaka_A2701_A270301_27060576,34.733816,135.50024,16
609,osaka_A2701_A270301_27060865,34.733816,135.50024,16
610,osaka_A2701_A270301_27064584,34.72546,135.499202,16
611,osaka_A2701_A270301_27068763,34.725823,135.496571,16
612,osaka_A2701_A270301_27077536,34.727804,135.499086,16
613,osaka_A2701_A270301_27077991,34.726726,135.499684,16
614,osaka_A2701_A270301_27080635,34.727318,135.496674,16
615,osaka_A2701_A270301_27082871,34.727328,135.49669,16
616,osaka_A2701_A270301_27084534,34.728537,135.497009,16
617,osaka_A2701_A270301_27086549,34.733466,135.500255,16
618,osaka_A2701_A270301_27091130,34.733574,135.498493,16
619,osaka_A2701_A270301_27095884,34.728409,135.500631,16
620,osaka_A2701_A270301_27098049,34.73372,135.500836,16
621,osaka_A2701_A270301_27098716,34.727045,135.499214,16
622,osaka_A2701_A270301_27102218,34.726479,135.501361,16
623,osaka_A2701_A270301_27105350,34.733437,135.490735,16
624,osaka_A2701_A270301_27110286,34.739839,135.496701,16
625,osaka_A2701_A270301_27114438,34.726791,135.495369,16
626,osaka_A2701_A270302_27000981,34.719224,135.48122,16
627,osaka_A2701_A270302_27001863,34.720876,135.483263,16
628,osaka_A2701_A270302_27001881,34.719951,135.480959,16
629,osaka_A2701_A270302_27004531,34.719837,135.481756,16
630,osaka_A2701_A270302_27006309,34.740741,135.493046,16
631,osaka_A2701_A270302_27008011,34.725369,135.49753,16
632,osaka_A2701_A270302_27012006,34.738584,135.483492,16
