店舗,緯度,経度
osaka_A2701_A270202_27001197,34.668091,135.504535
osaka_A2701_A270202_27001274,34.669629,135.498772
osaka_A2701_A270202_27001278,34.668376,135.503227
osaka_A2701_A270202_27001289,34.668473,135.50248
osaka_A2701_A270202_27001294,34.668747,135.498942
osaka_A2701_A270202_27001308,34.666221,135.502224
osaka_A2701_A270202_27001310,34.666323,135.502408
osaka_A2701_A270202_27001330,34.66211,135.495059
osaka_A2701_A270202_27001439,34.668063,135.50096
osaka_A2701_A270202_27001441,34.668034,135.50256
osaka_A2701_A270202_27001446,34.670493,135.505962
osaka_A2701_A270202_27001511,34.667963,135.501856
osaka_A2701_A270202_27001537,34.668148,135.503058
osaka_A2701_A270202_27001538,34.668077,135.501964
osaka_A2701_A270202_27001574,34.667949,135.501561
osaka_A2701_A270202_27001595,34.668536,135.500647
osaka_A2701_A270202_27001615,34.668821,135.501898
osaka_A2701_A270202_27002320,34.665219,135.503372
osaka_A2701_A270202_27002336,34.666127,135.501566
osaka_A2701_A270202_27002618,34.667901,135.503059
osaka_A2701_A270202_27002665,34.665592,135.504538
osaka_A2701_A270202_27002675,34.665369,135.50374
osaka_A2701_A270202_27002763,34.664032,135.503946
osaka_A2701_A270202_27003344,34.662059,135.496535
osaka_A2701_A270202_27003472,34.668118,135.502705
osaka_A2701_A270202_27003566,34.670283,135.499335
osaka_A2701_A270202_27004130,34.665108,135.499982
osaka_A2701_A270202_27004636,34.665284,135.502269
osaka_A2701_A270202_27004831,34.663748,135.501701
osaka_A2701_A270202_27005087,34.664166,135.499895
osaka_A2701_A270202_27005758,34.668381,135.503041
osaka_A2701_A270202_27006043,34.664606,135.503914
osaka_A2701_A270202_27007193,34.665511,135.498457
osaka_A2701_A270202_27011807,34.660475,135.502843
osaka_A2701_A270202_27012928,34.667421,135.50438
osaka_A2701_A270202_27013056,34.668037,135.502727
osaka_A2701_A270202_27013558,34.665354,135.504231
osaka_A2701_A270202_27015959,34.664355,135.504118
osaka_A2701_A270202_27017138,34.663773,135.502893
osaka_A2701_A270202_27023975,34.665276,135.502058
osaka_A2701_A270202_27024361,34.666485,135.501884
osaka_A2701_A270202_27037020,34.664052,135.506345
osaka_A2701_A270202_27042694,34.662903,135.504157
osaka_A2701_A270202_27043164,34.666823,135.50433
osaka_A2701_A270202_27043798,34.666294,135.501296
osaka_A2701_A270202_27044516,34.665644,135.506431
osaka_A2701_A270202_27045072,34.667734,135.501754
osaka_A2701_A270202_27050023,34.665313,135.505744
osaka_A2701_A270202_27050555,34.671188,135.497852
osaka_A2701_A270202_27051329,34.667213,135.509199
osaka_A2701_A270202_27051540,34.663778,135.505403
osaka_A2701_A270202_27051667,34.669302,135.503218
osaka_A2701_A270202_27059653,34.664255,135.503485
osaka_A2701_A270202_27062271,34.668564,135.503221
osaka_A2701_A270202_27064407,34.664862,135.503767
osaka_A2701_A270202_27070348,34.66734,135.503826
osaka_A2701_A270202_27070641,34.664414,135.503931
osaka_A2701_A270202_27070905,34.669624,135.498958
osaka_A2701_A270202_27072346,34.667565,135.502391
osaka_A2701_A270202_27072765,34.668282,135.511283
osaka_A2701_A270202_27075464,34.667122,135.51027
osaka_A2701_A270202_27076680,34.660475,135.502843
osaka_A2701_A270202_27077424,34.669221,135.498679
osaka_A2701_A270202_27077653,34.663242,135.504831
osaka_A2701_A270202_27078871,34.664862,135.503767
osaka_A2701_A270202_27079226,34.659523,135.505453
osaka_A2701_A270202_27080501,34.666229,135.505838
osaka_A2701_A270202_27081638,34.663591,135.503062
osaka_A2701_A270202_27084099,34.666234,135.499324
osaka_A2701_A270202_27084754,34.663731,135.504882
osaka_A2701_A270202_27086130,34.661048,135.508612
osaka_A2701_A270202_27095097,34.666586,135.501828
osaka_A2701_A270202_27096690,34.668267,135.505105
osaka_A2701_A270202_27096769,34.659849,135.504332
osaka_A2701_A270202_27098816,34.665511,135.498457
osaka_A2701_A270202_27101322,34.66276,135.503559
osaka_A2701_A270202_27111499,34.665463,135.50179
osaka_A2701_A270202_27111563,34.665463,135.50179
osaka_A2701_A270202_27112089,34.667138,135.499571
osaka_A2701_A270203_27002721,34.642737,135.51225
osaka_A2701_A270203_27002750,34.645332,135.514171
osaka_A2701_A270203_27004895,34.647772,135.509387
osaka_A2701_A270203_27008027,34.63406,135.516379
osaka_A2701_A270203_27008416,34.645043,135.514287
osaka_A2701_A270203_27010128,34.648444,135.524454
osaka_A2701_A270203_27011174,34.649991,135.522039
osaka_A2701_A270203_27015125,34.647931,135.514657
osaka_A2701_A270203_27017208,34.648861,135.513419
osaka_A2701_A270203_27019581,34.648126,135.513913
osaka_A2701_A270203_27021940,34.648357,135.513869
osaka_A2701_A270203_27042315,34.643065,135.523844
osaka_A2701_A270203_27046654,34.648383,135.524567
osaka_A2701_A270203_27049959,34.648584,135.513618
osaka_A2701_A270203_27056245,34.646008,135.511715
osaka_A2701_A270203_27056274,34.645849,135.511937
osaka_A2701_A270203_27056838,34.64588,135.511976
osaka_A2701_A270203_27059500,34.63406,135.516379
osaka_A2701_A270203_27062959,34.649376,135.513748
osaka_A2701_A270203_27064289,34.646468,135.511254
osaka_A2701_A270203_27066977,34.656254,135.514079
osaka_A2701_A270203_27072629,34.639674,135.511323
osaka_A2701_A270203_27086634,34.647848,135.515996
osaka_A2701_A270203_27088045,34.648865,135.524029
osaka_A2701_A270203_27100181,34.644634,135.511348
osaka_A2701_A270203_27110196,34.648646,135.514175
osaka_A2701_A270204_27000640,34.673509,135.517158
osaka_A2701_A270204_27004780,34.673469,135.520206
osaka_A2701_A270204_27004899,34.677834,135.516866
osaka_A2701_A270204_27009531,34.672342,135.516431
osaka_A2701_A270204_27010090,34.673708,135.533571
osaka_A2701_A270204_27012863,34.67395,135.536449
osaka_A2701_A270204_27024049,34.674694,135.51667
osaka_A2701_A270204_27042400,34.674246,135.533645
osaka_A2701_A270204_27059047,34.674179,135.534406
osaka_A2701_A270204_27060541,34.673667,135.530936
